contenido,veredicto
"Verifica tu cuenta ahora. Haz clic en el enlace para evitar el bloqueo.",Phishing
"Tu pedido ha sido recibido. Gracias por comprar con nosotros.",Legítimo
"Detectamos una actividad sospechosa. Inicia sesión urgentemente.",Sospechoso
"¡Gana dinero fácil y rápido! Participa gratis en nuestro sorteo.",Phishing
"Actualización de políticas de privacidad. No requiere acción.",Legítimo
"Tu cuenta está en riesgo. Actualiza tu información bancaria.",Phishing
"Gracias por tu pago. Tu recibo está adjunto en este correo.",Legítimo
"Haz clic para confirmar tu cuenta y evitar la suspensión.",Sospechoso
"Compra aprobada. Te llegará un SMS de confirmación.",Legítimo
"Promoción limitada. Consigue un iPhone por solo $1.",Phishing
